Time(s),CH1V
-1.000000e-03,1.274333e-01
-9.980000e-04,2.583133e-01
-9.960000e-04,2.900533e-01
-9.940000e-04,2.980200e-01
-9.920000e-04,2.995200e-01
-9.900000e-04,3.011333e-01
-9.880000e-04,3.007867e-01
-9.860000e-04,3.017133e-01
-9.840000e-04,3.018267e-01
-9.820000e-04,3.018267e-01
-9.800000e-04,3.012467e-01
-9.780000e-04,3.015933e-01
-9.760000e-04,3.010200e-01
-9.740000e-04,3.013667e-01
-9.720000e-04,3.012467e-01
-9.700000e-04,3.013667e-01
-9.680000e-04,3.012467e-01
-9.660000e-04,3.010200e-01
-9.640000e-04,3.010200e-01
-9.620000e-04,3.010200e-01
-9.600000e-04,3.011333e-01
-9.580000e-04,3.020600e-01
-9.560000e-04,3.015933e-01
-9.540000e-04,3.013667e-01
-9.520000e-04,3.013667e-01
-9.500000e-04,3.019400e-01
-9.480000e-04,3.010200e-01
-9.460000e-04,3.011333e-01
-9.440000e-04,3.010200e-01
-9.420000e-04,3.009067e-01
-9.400000e-04,3.010200e-01
-9.380000e-04,3.014800e-01
-9.360000e-04,3.013667e-01
-9.340000e-04,3.017133e-01
-9.320000e-04,3.010200e-01
-9.300000e-04,3.009067e-01
-9.280000e-04,3.012467e-01
-9.260000e-04,3.015933e-01
-9.240000e-04,3.014800e-01
-9.220000e-04,3.014800e-01
-9.200000e-04,3.010200e-01
-9.180000e-04,3.015933e-01
-9.160000e-04,3.012467e-01
-9.140000e-04,3.018267e-01
-9.120000e-04,3.013667e-01
-9.100000e-04,3.006733e-01
-9.080000e-04,3.006733e-01
-9.060000e-04,3.011333e-01
-9.040000e-04,3.004400e-01
-9.020000e-04,3.011333e-01
-9.000000e-04,3.005600e-01
-8.980000e-04,3.011333e-01
-8.960000e-04,3.006733e-01
-8.940000e-04,3.017133e-01
-8.920000e-04,3.011333e-01
-8.900000e-04,3.017133e-01
-8.880000e-04,3.011333e-01
-8.860000e-04,3.012467e-01
-8.840000e-04,3.014800e-01
-8.820000e-04,3.015933e-01
-8.800000e-04,3.013667e-01
-8.780000e-04,3.020600e-01
-8.760000e-04,3.013667e-01
-8.740000e-04,3.022867e-01
-8.720000e-04,3.012467e-01
-8.700000e-04,3.021733e-01
-8.680000e-04,3.010200e-01
-8.660000e-04,3.014800e-01
-8.640000e-04,3.011333e-01
-8.620000e-04,3.014800e-01
-8.600000e-04,3.012467e-01
-8.580000e-04,3.015933e-01
-8.560000e-04,3.012467e-01
-8.540000e-04,3.013667e-01
-8.520000e-04,3.010200e-01
-8.500000e-04,3.014800e-01
-8.480000e-04,3.007867e-01
-8.460000e-04,3.018267e-01
-8.440000e-04,3.015933e-01
-8.420000e-04,3.018267e-01
-8.400000e-04,3.011333e-01
-8.380000e-04,3.018267e-01
-8.360000e-04,3.015933e-01
-8.340000e-04,3.018267e-01
-8.320000e-04,3.017133e-01
-8.300000e-04,3.018267e-01
-8.280000e-04,3.014800e-01
-8.260000e-04,3.017133e-01
-8.240000e-04,3.014800e-01
-8.220000e-04,3.019400e-01
-8.200000e-04,3.015933e-01
-8.180000e-04,3.014800e-01
-8.160000e-04,3.015933e-01
-8.140000e-04,3.014800e-01
-8.120000e-04,3.013667e-01
-8.100000e-04,3.019400e-01
-8.080000e-04,3.013667e-01
-8.060000e-04,3.015933e-01
-8.040000e-04,3.011333e-01
-8.020000e-04,3.021733e-01
-8.000000e-04,3.011333e-01
-7.980000e-04,3.018267e-01
-7.960000e-04,3.013667e-01
-7.940000e-04,3.017133e-01
-7.920000e-04,3.011333e-01
-7.900000e-04,3.020600e-01
-7.880000e-04,3.018267e-01
-7.860000e-04,3.024067e-01
