Time(s),CH1V,CH2V
-1.000000e-03,1.082000e-01,1.020000e-03
-9.980000e-04,2.528200e-01,1.020000e-03
-9.960000e-04,2.894067e-01,9.066667e-04
-9.940000e-04,2.976000e-01,1.140000e-03
-9.920000e-04,3.006000e-01,7.933333e-04
-9.900000e-04,3.007133e-01,2.133333e-04
-9.880000e-04,3.016400e-01,1.020000e-03
-9.860000e-04,3.010600e-01,2.133333e-04
-9.840000e-04,3.010600e-01,1.486667e-03
-9.820000e-04,3.009467e-01,7.933333e-04
-9.800000e-04,3.016400e-01,5.600000e-04
-9.780000e-04,3.001400e-01,4.400000e-04
-9.760000e-04,3.010600e-01,1.373333e-03
-9.740000e-04,3.009467e-01,7.933333e-04
-9.720000e-04,3.017533e-01,1.140000e-03
-9.700000e-04,3.014067e-01,5.600000e-04
-9.680000e-04,3.014067e-01,1.140000e-03
-9.660000e-04,3.009467e-01,4.400000e-04
-9.640000e-04,3.010600e-01,1.140000e-03
-9.620000e-04,3.006000e-01,4.400000e-04
-9.600000e-04,3.011800e-01,7.933333e-04
-9.580000e-04,3.007133e-01,7.933333e-04
-9.560000e-04,3.014067e-01,1.253333e-03
-9.540000e-04,3.012933e-01,3.266667e-04
-9.520000e-04,3.014067e-01,1.140000e-03
-9.500000e-04,3.009467e-01,7.933333e-04
-9.480000e-04,3.012933e-01,1.486667e-03
-9.460000e-04,3.004867e-01,3.266667e-04
-9.440000e-04,3.009467e-01,1.020000e-03
-9.420000e-04,3.009467e-01,1.020000e-03
-9.400000e-04,3.017533e-01,7.933333e-04
-9.380000e-04,3.009467e-01,2.133333e-04
-9.360000e-04,3.015200e-01,1.020000e-03
-9.340000e-04,3.016400e-01,5.600000e-04
-9.320000e-04,3.014067e-01,9.066667e-04
-9.300000e-04,3.010600e-01,6.733334e-04
-9.280000e-04,3.017533e-01,1.600000e-03
-9.260000e-04,3.009467e-01,7.933333e-04
-9.240000e-04,3.017533e-01,5.600000e-04
-9.220000e-04,3.008333e-01,5.600000e-04
-9.200000e-04,3.019867e-01,6.733334e-04
-9.180000e-04,3.010600e-01,-2.000000e-05
-9.160000e-04,3.017533e-01,1.600000e-03
-9.140000e-04,3.010600e-01,-2.000000e-05
-9.120000e-04,3.014067e-01,9.066667e-04
-9.100000e-04,3.007133e-01,5.600000e-04
-9.080000e-04,3.016400e-01,1.140000e-03
-9.060000e-04,3.009467e-01,9.333334e-05
-9.040000e-04,3.017533e-01,7.933333e-04
-9.020000e-04,3.010600e-01,3.266667e-04
-9.000000e-04,3.014067e-01,9.066667e-04
-8.980000e-04,3.009467e-01,1.020000e-03
-8.960000e-04,3.011800e-01,1.140000e-03
-8.940000e-04,3.004867e-01,-2.000000e-05
-8.920000e-04,3.011800e-01,6.733334e-04
-8.900000e-04,3.008333e-01,6.733334e-04
-8.880000e-04,3.014067e-01,4.400000e-04
-8.860000e-04,3.015200e-01,5.600000e-04
-8.840000e-04,3.018667e-01,1.020000e-03
-8.820000e-04,3.008333e-01,6.733334e-04
-8.800000e-04,3.017533e-01,1.140000e-03
-8.780000e-04,3.011800e-01,5.600000e-04
-8.760000e-04,3.014067e-01,1.020000e-03
-8.740000e-04,3.011800e-01,4.400000e-04
-8.720000e-04,3.014067e-01,1.140000e-03
-8.700000e-04,3.010600e-01,4.400000e-04
-8.680000e-04,3.017533e-01,1.140000e-03
-8.660000e-04,3.008333e-01,5.600000e-04
-8.640000e-04,3.017533e-01,9.066667e-04
-8.620000e-04,3.008333e-01,5.600000e-04
-8.600000e-04,3.015200e-01,1.020000e-03
-8.580000e-04,3.003667e-01,6.733334e-04
-8.560000e-04,3.015200e-01,1.140000e-03
-8.540000e-04,3.017533e-01,7.933333e-04
-8.520000e-04,3.023333e-01,7.933333e-04
-8.500000e-04,3.018667e-01,7.933333e-04
-8.480000e-04,3.017533e-01,1.253333e-03
-8.460000e-04,3.002533e-01,6.733334e-04
-8.440000e-04,3.014067e-01,7.933333e-04
-8.420000e-04,3.004867e-01,5.600000e-04
-8.400000e-04,3.014067e-01,1.253333e-03
-8.380000e-04,3.006000e-01,2.133333e-04
-8.360000e-04,3.014067e-01,1.140000e-03
-8.340000e-04,3.012933e-01,9.066667e-04
-8.320000e-04,3.019867e-01,1.140000e-03
-8.300000e-04,3.018667e-01,5.600000e-04
-8.280000e-04,3.010600e-01,5.600000e-04
-8.260000e-04,3.012933e-01,5.600000e-04
