Time(s),CH1V,CH2V,CH3V,CH4V
-1.000000e-03,1.249267e-01,7.933333e-04,3.733333e-04,1.333333e-04
-9.980000e-04,2.577667e-01,9.066667e-04,7.200000e-04,7.066667e-04
-9.960000e-04,2.903133e-01,2.133333e-04,4.866667e-04,3.600000e-04
-9.940000e-04,2.989733e-01,7.933333e-04,2.666667e-05,4.800000e-04
-9.920000e-04,2.998933e-01,5.600000e-04,7.200000e-04,8.200000e-04
-9.900000e-04,3.010467e-01,5.600000e-04,2.600000e-04,7.066667e-04
-9.880000e-04,3.005867e-01,9.066667e-04,4.866667e-04,-5.533333e-04
-9.860000e-04,3.009333e-01,4.400000e-04,3.733333e-04,2.000000e-05
-9.840000e-04,3.012800e-01,6.733334e-04,2.666667e-05,2.466667e-04
-9.820000e-04,3.010467e-01,2.133333e-04,-8.666667e-05,-5.533333e-04
-9.800000e-04,3.005867e-01,5.600000e-04,1.400000e-04,3.600000e-04
-9.780000e-04,3.018600e-01,6.733334e-04,9.466666e-04,1.333333e-04
-9.760000e-04,3.010467e-01,7.933333e-04,-8.666667e-05,4.800000e-04
-9.740000e-04,3.010467e-01,9.066667e-04,9.466666e-04,2.000000e-05
-9.720000e-04,3.008200e-01,5.600000e-04,3.733333e-04,7.066667e-04
-9.700000e-04,3.015133e-01,-2.000000e-05,9.466666e-04,2.466667e-04
-9.680000e-04,3.017400e-01,1.020000e-03,1.400000e-04,-2.133333e-04
-9.660000e-04,3.016267e-01,6.733334e-04,7.200000e-04,4.800000e-04
-9.640000e-04,3.012800e-01,5.600000e-04,1.400000e-04,1.333333e-04
-9.620000e-04,3.018600e-01,4.400000e-04,3.733333e-04,3.600000e-04
-9.600000e-04,3.016267e-01,5.600000e-04,3.733333e-04,2.466667e-04
-9.580000e-04,3.018600e-01,6.733334e-04,4.866667e-04,2.466667e-04
-9.560000e-04,3.011667e-01,1.140000e-03,3.733333e-04,3.600000e-04
-9.540000e-04,3.015133e-01,4.400000e-04,4.866667e-04,1.513333e-03
-9.520000e-04,3.016267e-01,6.733334e-04,3.733333e-04,1.333333e-04
-9.500000e-04,3.017400e-01,3.266667e-04,4.866667e-04,4.800000e-04
-9.480000e-04,3.012800e-01,-2.000000e-05,4.866667e-04,3.600000e-04
-9.460000e-04,3.015133e-01,4.400000e-04,7.200000e-04,4.800000e-04
